Inundation Analysis Results
8770777 Manchester,  TX 
from 1950-08-01 to 2025-07-31 (Hourly Data)
Threshold 1.161 Meters above NAVD88
76 Inundations - 
Total Duration: 610.0 Hours (0.09%)

Time of the Tide		Period Start		Period End		Maximum Elevation above Threshold		Maximum Elevation (Meters)		   Tide Type		Duration (Hours)
1998-01-22 06:00		1998-01-22 06:00	1998-01-22 07:00		0.082						1.243					--			2.0
1998-08-22 14:00		1998-08-22 14:00	1998-08-22 14:00		0.033						1.194					--			1.0
1998-09-11 16:00		1998-09-10 04:00	1998-09-12 17:00		1.267						2.428					--			62.0
1998-09-14 17:00		1998-09-14 14:00	1998-09-14 17:00		0.082						1.243					--			4.0
1998-10-18 16:00		1998-10-18 16:00	1998-10-18 16:00		0.007						1.168					--			1.0
1998-11-13 13:00		1998-11-13 11:00	1998-11-13 13:00		0.096						1.257					--			3.0
1998-11-14 14:00		1998-11-14 12:00	1998-11-14 15:00		0.039						1.200					--			4.0
1999-04-03 15:00		1999-04-03 15:00	1999-04-03 16:00		0.025						1.186					--			2.0
2001-03-14 23:00		2001-03-14 23:00	2001-03-14 23:00		0.000						1.161					--			1.0
2001-06-05 19:00		2001-06-05 19:00	2001-06-05 19:00		0.024						1.185					--			1.0
2001-06-06 02:00		2001-06-05 22:00	2001-06-06 08:00		1.030						2.191					--			11.0
2001-06-09 14:00		2001-06-09 07:00	2001-06-10 03:00		1.266						2.427					--			21.0
2002-03-01 22:00		2002-03-01 22:00	2002-03-01 22:00		0.084						1.245					--			1.0
2002-08-15 15:00		2002-08-15 15:00	2002-08-15 15:00		0.032						1.193					--			1.0
2002-09-06 22:00		2002-09-06 21:00	2002-09-06 23:00		0.061						1.222					--			3.0
2002-09-07 02:00		2002-09-07 02:00	2002-09-07 02:00		0.017						1.178					--			1.0
2002-09-07 14:00		2002-09-07 11:00	2002-09-07 18:00		0.276						1.437					--			8.0
2015-06-16 15:00		2015-06-16 13:00	2015-06-16 20:00		0.273						1.434					--			8.0
2015-06-16 23:00		2015-06-16 23:00	2015-06-16 23:00		0.102						1.263					--			1.0
2015-06-17 01:00		2015-06-17 01:00	2015-06-17 01:00		0.013						1.174					--			1.0
2015-06-17 16:00		2015-06-17 15:00	2015-06-17 18:00		0.071						1.232					--			4.0
2015-10-25 00:00		2015-10-25 00:00	2015-10-25 00:00		0.126						1.287					--			1.0
2015-10-25 00:00		2015-10-25 01:00	2015-10-25 02:00		0.126						1.287					--			2.0
2015-10-25 08:00		2015-10-25 05:00	2015-10-25 16:00		0.270						1.431					--			12.0
2015-10-31 16:00		2015-10-31 07:00	2015-10-31 22:00		0.985						2.146					--			16.0
2016-04-17 06:00		2016-04-17 01:00	2016-04-17 12:00		0.063						1.224					--			12.0
2016-04-18 14:00		2016-04-17 22:00	2016-04-19 03:00		0.831						1.992					--			30.0
2016-04-30 01:00		2016-04-30 01:00	2016-04-30 02:00		0.014						1.175					--			2.0
2016-05-02 11:00		2016-05-02 11:00	2016-05-02 11:00		0.022						1.183					--			1.0
